29488
(7020,11404)
(8221,4236)
(17451,9529)
(20556,14690)
(9420,17245)
(12519,14711)
(17492,9380)
(25447,12442)
(17847,14777)
(22122,20137)
(10112,18730)
(9954,4949)
(17118,22593)
(2842,4343)
(12775,5703)
(15944,18670)
(22002,19250)
(18654,18653)
(19641,9350)
(762,5215)
(3664,895)
(10440,20134)
(18648,5832)
(10202,17046)
(7367,15481)
(1850,849)
(7926,8406)
(574,12425)
(2590,12855)
(16428,1999)
(23638,16800)
(17917,7736)
(6070,4166)
(4000,13461)
(8934,7187)
(966,16641)
(6238,21610)
(2178,2088)
(3705,2902)
(15921,13071)
(21879,6108)
(24482,981)
(12084,5374)
(7039,8813)
(6112,17360)
(5427,12874)
(11504,21495)
(960,24411)
(1792,7700)
(22492,24235)
(5974,9480)
(15156,3061)
(23016,23381)
(11033,8520)
(7207,17503)
(9761,7031)
(12027,2212)
(12362,9553)
(12766,12002)
(19071,11960)
(21370,6719)
(13976,13783)
(11078,20201)
(2313,25294)
(21810,19752)
(6015,21671)
(21883,14038)
(25751,9737)
(26011,7573)
(22370,17981)
(3054,16495)
(8788,5878)
(14364,22128)
(6802,4621)
(18014,15908)
(2503,17497)
(8196,13441)
(1417,23942)
(22415,9351)
(14095,22908)
(5187,360)
(19796,9112)
(16842,17845)
(6543,4376)
(13517,14831)
(25668,8819)
(3658,6796)
(12279,25150)
(16090,21999)
(11931,8137)
(6310,22491)
(11766,7922)
(19465,15928)
(6176,9066)
(6792,9549)
(14718,13564)
(4067,5959)
(21494,4093)
(12111,8509)
(12012,10517)
(13053,15049)
(17034,10584)
(22249,17664)
(25394,18207)
(10413,9255)
(21391,23652)
(3648,4174)
(12748,16795)
(8691,21200)
(15849,10106)
(2025,16888)
(1554,7173)
(21120,11169)
(18059,7821)
(15827,2409)
(7715,1602)
(22605,21433)
(10469,5311)
(2111,17676)
(25598,14011)
(25583,2201)
(16089,1106)
(18464,8179)
(7928,22034)
(17620,6914)
(25111,22389)
(5349,15575)
(3958,691)
(9950,20004)
(10787,1847)
(9542,7076)
(12137,15474)
(3385,605)
(12846,17544)
(10196,9283)
(5283,19906)
(9067,23204)
(8969,21285)
(21336,7346)
(16,7302)
(15677,25183)
(9842,1769)
(9594,1598)
(18974,14922)
(25838,5204)
(860,20833)
(4495,23511)
(25977,24056)
(16701,1702)
(18292,12522)
(7496,23185)
(16291,9576)
(17813,16953)
(22240,21134)
(19867,6110)
(11016,4611)
(414,23366)
(2714,14422)
(17327,13800)
(10707,2588)
(14325,19931)
(20948,171)
(19775,17423)
(14457,4130)
(3308,21123)
(1059,18594)
(5312,8521)
(11748,14658)
(15547,16006)
(2221,5252)
(1523,2806)
(11364,8620)
(12319,13621)
(11539,23918)
(18490,4800)
(18394,7841)
(4995,23073)
(6791,20906)
(16307,11839)
(6258,18430)
(17741,22285)
(16060,4026)
(3351,11981)
(2929,16126)
(3614,2094)
(21123,21072)
(18072,21318)
(14059,16408)
(2129,467)
(22112,13288)
(24848,13451)
(22958,7059)
(8829,14676)
(10331,6511)
(21959,23141)
(6594,588)
(5761,8693)
(4813,16701)
(21569,11501)
(283,10137)
(6445,10784)
(8385,259)
(2318,12882)
(20606,7737)
(7581,15606)
(3534,7402)
(21841,3373)
(13141,14398)
(14006,9360)
(11277,23936)
(23377,3104)
(1096,3983)
(5806,367)
(14468,15567)
(16174,5348)
(12939,18129)
(21742,5294)
(23707,20059)
(22840,2276)
(8075,7168)
(14828,16494)
(20170,10561)
(19110,18215)
(913,19503)
(20980,882)
(12581,9041)
(23595,9656)
(21468,2278)
(2808,2761)
(5310,24606)
(10303,23926)
(11467,7775)
(3093,6991)
(13159,20974)
(18545,19242)
(5271,25346)
